run_id,run_mode,variant_id,category,name,setting,status,failure_reason,sample_count,loss,miou,iou_per_class,mean_acc,acc_per_class,dice,delta_miou,delta_dice,runtime_seconds
full-42,full,baseline,baseline,Original images,original,completed,,15,0.21802780032157898,0.8411541995768608,"{""0"": 0.8388643717762398, ""1"": 0.8434440273774817}",0.916246007160646,"{""0"": 0.8599044403438822, ""1"": 0.9725875739774098}",0.9137231992836607,0.0,0.0,0.47886706099961884
full-42,full,autoencoder__base_32_latent_8,autoencoder,base_32_latent_8,architecture=latent;depth=4;base_channels=32;latent_channels=8,completed,,15,1.6208672761917113,0.2767067796617201,"{""0"": 0.5260252311055985, ""1"": 0.02738832821784168}",0.5108111909499263,"{""0"": 0.9940561328971738, ""1"": 0.02756624900267886}",0.37136104458247615,-0.5644474199151407,-0.5423621547011845,0.6255649619997712
full-42,full,autoencoder__base_32_latent_16,autoencoder,base_32_latent_16,architecture=latent;depth=4;base_channels=32;latent_channels=16,completed,,15,1.7724491794904074,0.2679885648566874,"{""0"": 0.5220780424435251, ""1"": 0.013899087269849689}",0.5035397939505898,"{""0"": 0.9930753095997471, ""1"": 0.014004278301432364}",0.3567120158486425,-0.5731656347201735,-0.5570111834350182,0.6177924340008758
full-42,full,autoencoder__base_32_latent_32,autoencoder,base_32_latent_32,architecture=latent;depth=4;base_channels=32;latent_channels=32,completed,,15,1.8814786116282145,0.26110038757324217,"{""0"": 0.5222007751464843, ""1"": 0.0}",0.5,"{""0"": 1.0, ""1"": 0.0}",0.34305643754269666,-0.5800538120036186,-0.5706667617409641,0.6402666030044202
full-42,full,autoencoder__base_64_latent_8,autoencoder,base_64_latent_8,architecture=latent;depth=4;base_channels=64;latent_channels=8,completed,,15,1.692673675219218,0.25925181110635004,"{""0"": 0.5112200809114805, ""1"": 0.007283541301219608}",0.49147641901030675,"{""0"": 0.975474060535401, ""1"": 0.007478777485212502}",0.3455138870215778,-0.5819023884705108,-0.5682093122620829,0.9612475379981333
full-42,full,autoencoder__base_64_latent_16,autoencoder,base_64_latent_16,architecture=latent;depth=4;base_channels=64;latent_channels=16,completed,,15,1.8925690650939941,0.26116847018615297,"{""0"": 0.5216603784336716, ""1"": 0.000676561938634291}",0.4996596579698528,"{""0"": 0.9986417496640899, ""1"": 0.0006775662756156512}",0.3434992376021372,-0.5799857293907078,-0.5702239616815236,0.9333269530034158
full-42,full,autoencoder__base_64_latent_32,autoencoder,base_64_latent_32,architecture=latent;depth=4;base_channels=64;latent_channels=32,completed,,15,1.6343495488166808,0.26197049269843975,"{""0"": 0.5199045795107891, ""1"": 0.004036405886090469}",0.4988668929717576,"{""0"": 0.9936694528087147, ""1"": 0.0040643331348005594}",0.3460841389581992,-0.579183706878421,-0.5676390603254615,0.9440907120006159
full-42,full,autoencoder__encoder_depth_1_base_channel_32,autoencoder,encoder_depth_1_base_channel_32,architecture=legacy;depth=1;base_channels=32,completed,,15,0.49834439555803933,0.6014005236481574,"{""0"": 0.661343586457332, ""1"": 0.5414574608389828}",0.7512726041222515,"{""0"": 0.9046794621737752, ""1"": 0.5978657460707277}",0.7493408681993913,-0.23975367592870334,-0.16438233108426947,0.5311918160005007
full-42,full,autoencoder__encoder_depth_2_base_channel_32,autoencoder,encoder_depth_2_base_channel_32,architecture=legacy;depth=2;base_channels=32,completed,,15,0.5474726855754852,0.5390727941717054,"{""0"": 0.6098870441610554, ""1"": 0.46825854418235535}",0.7022197906632799,"{""0"": 0.8692841110034836, ""1"": 0.5351554703230762}",0.6977594491145445,-0.3020814054051554,-0.2159637501691163,0.5332450999994762
full-42,full,autoencoder__encoder_depth_3_base_channel_32,autoencoder,encoder_depth_3_base_channel_32,architecture=legacy;depth=3;base_channels=32,completed,,15,0.8467597325642904,0.37951393814867496,"{""0"": 0.5644639544038084, ""1"": 0.19456392189354157}",0.5886345285911782,"{""0"": 0.9780342333628944, ""1"": 0.19923482381946186}",0.5236778592354302,-0.4616402614281858,-0.39004534004823055,0.5235013400088064
